code,disciplines
1539123,Badminton
1539125,Badminton
1539131,Athletics
1539157,Badminton
1539180,Equestrian
1539183,Badminton
1539188,Badminton
1539303,Athletics
1539314,Athletics
1539328,Athletics
1539340,Athletics
1539342,Athletics
1539412,Swimming
1539497,Athletics
1539505,Athletics
1539510,Athletics
1539530,Swimming
1539532,Swimming
1539540,Athletics
1539547,Athletics
1539548,Athletics
1539607,Shooting
1539611,Shooting
1539615,Shooting
1539628,Shooting
1539636,Shooting
1539643,Shooting
1539683,Judo
1539720,Shooting
1539747,Shooting
1539752,Shooting
1539754,Shooting
1539757,Shooting
1539767,Shooting
1539849,Badminton
1539886,Fencing
1539948,Badminton
1539950,Rugby Sevens
1539951,Rugby Sevens
1539952,Rugby Sevens
1539954,Boxing
1539959,Diving
1539961,Athletics
1539962,Athletics
1539963,Athletics
1539966,Swimming
1539968,Swimming
1539969,Marathon Swimming
1539969,Swimming
1539971,Cycling Road
1539974,Cycling Track
1539976,Cycling Track
1539977,Cycling Track
1539978,Cycling Track
1539982,Cycling Track
1539983,Cycling Road
1539985,Golf
1539986,Artistic Gymnastics
1539990,Rowing
1539991,Rowing
1539992,Rowing
1539993,Rowing
1539998,Rowing
1540039,Golf
1540108,Handball
1540112,Handball
1540120,Handball
1540143,Handball
1540144,Handball
1540173,Sailing
1540175,Handball
1540176,Sailing
1540177,Handball
1540178,Handball
1540179,Handball
1540180,Handball
1540181,Handball
1540184,Swimming
1540190,Swimming
1540216,Triathlon
1540226,Triathlon
1540262,Wrestling
1540263,Wrestling
1540273,Wrestling
1540275,Wrestling
1540278,Wrestling
1540305,Wrestling
1540310,Weightlifting
1540334,Weightlifting
1540335,Weightlifting
1540349,Boxing
1540351,Boxing
1540352,Boxing
1540353,Boxing
1540354,Boxing
1540497,Handball
1540498,Handball
1540499,Handball
1540516,Handball
1540533,Rugby Sevens
1540534,Rugby Sevens
1540536,Rugby Sevens
1540537,Rugby Sevens
1540538,Rugby Sevens
1540539,Rugby Sevens
1540543,Rugby Sevens
1540583,Badminton
1540603,Rugby Sevens
1540605,Rugby Sevens
1540621,Rugby Sevens
1540623,Rugby Sevens
1540624,Rugby Sevens
1540625,Rugby Sevens
1540647,Skateboarding
1540688,Canoe Sprint
1540691,Swimming
1540692,Sailing
1540693,Sailing
1540694,Shooting
1540695,Cycling BMX Racing
1540701,Boxing
1540702,Boxing
1540704,Boxing
1540706,Fencing
1540710,Shooting
1540717,Athletics
1540829,Swimming
1540832,Rhythmic Gymnastics
1540905,Canoe Sprint
1540991,Taekwondo
1540998,Rowing
1541062,Triathlon
1541265,Archery
1541266,Archery
1541268,Archery
1541270,Archery
1541272,Archery
1541275,Archery
1541290,Table Tennis
1541351,Rowing
1541356,Weightlifting
1541364,Table Tennis
1541367,Table Tennis
1541369,Table Tennis
1541412,Cycling Road
1541419,Fencing
1541426,Fencing
1541427,Fencing
1541439,Fencing
1541452,Diving
1541453,Diving
1541460,Swimming
1541462,Swimming
1541467,Judo
1541468,Athletics
1541471,Table Tennis
1541473,Table Tennis
1541474,Table Tennis
1541477,Table Tennis
1541478,Table Tennis
1541544,Shooting
1541553,Fencing
1541554,Fencing
1541568,Canoe Sprint
1541569,Canoe Sprint
1541570,Canoe Sprint
1541591,Boxing
1541599,Swimming
1541601,Swimming
1541606,Athletics
1541610,Badminton
1541614,Badminton
1541617,Badminton
1541618,Badminton
1541619,Badminton
1541620,Badminton
1541623,Badminton
1541624,Badminton
1541629,Badminton
1541630,Badminton
1541633,Badminton
1541652,Taekwondo
1541656,Swimming
1541659,Cycling Mountain Bike
1541672,Swimming
1541730,Boxing
1541773,Swimming
1541825,Taekwondo
1541970,Taekwondo
1542354,Triathlon
1542359,Judo
1542385,Swimming
1542416,Shooting
1542423,Fencing
1542468,Tennis
1542473,Tennis
1542494,Judo
1542511,Judo
1542537,Tennis
1542539,Table Tennis
1542541,Table Tennis
1542543,Table Tennis
1542547,Table Tennis
1542549,Table Tennis
1542553,Table Tennis
1542726,Judo
1542850,Athletics
1542866,Skateboarding
1542889,Artistic Gymnastics
1542901,Breaking
1542909,Breaking
1542945,Diving
1542954,Table Tennis
1542955,Weightlifting
1542959,Judo
1542961,Swimming
1542963,Swimming
1542996,Modern Pentathlon
1543012,Archery
1543015,Hockey
1543017,Hockey
1543019,Hockey
1543020,Hockey
1543021,Hockey
1543022,Hockey
1543024,Hockey
1543026,Hockey
1543028,Hockey
1543029,Hockey
1543030,Hockey
1543031,Hockey
1543033,Hockey
1543054,Swimming
1543059,Hockey
1543061,Hockey
1543064,Hockey
1543080,Swimming
1543088,Wrestling
1543090,Athletics
1543093,Swimming
1543095,Wrestling
1543197,Athletics
1543247,Wrestling
1543253,Wrestling
1543258,Wrestling
1543266,Wrestling
1543272,Badminton
1543274,Boxing
1543281,Athletics
1543282,Athletics
1543283,Athletics
1543285,Athletics
1543288,Diving
1543297,Rugby Sevens
1543299,Rugby Sevens
1543302,Swimming
1543303,Swimming
1543304,Swimming
1543305,Swimming
1543306,Sailing
1543307,Sailing
1543310,Sailing
1543312,Swimming
1543314,Cycling Road
1543316,Golf
1543317,Rowing
1543318,Rowing
1543319,Rowing
1543320,Rowing
1543322,Rowing
1543327,Athletics
1543389,Athletics
1543408,Trampoline Gymnastics
1543412,Archery
1543418,Athletics
1543422,Athletics
1543430,Skateboarding
1543437,Golf
1543443,Tennis
1543445,Athletics
1543446,Athletics
1543470,Athletics
1543471,Athletics
1543474,Athletics
1543479,Athletics
1543481,Athletics
1543483,Cycling BMX Racing
1543485,Cycling BMX Racing
1543487,Cycling BMX Racing
1543489,Cycling BMX Racing
1543490,Cycling BMX Racing
1543494,Cycling BMX Freestyle
1543495,Cycling Track
1543498,Cycling Track
1543501,Cycling Track
1543503,Weightlifting
1543506,Weightlifting
1543507,Weightlifting
1543509,Weightlifting
1543513,Swimming
1543540,Swimming
1543542,Boxing
1543549,Swimming
1543554,Swimming
1543608,Shooting
1543615,Wrestling
1543643,Archery
1543694,Badminton
1543695,Canoe Sprint
1543868,Judo
1543884,Swimming
1543943,Athletics
1543950,Swimming
1543963,Triathlon
1543964,Triathlon
1543965,Triathlon
1543966,Triathlon
1543967,Triathlon
1543969,Triathlon
1544063,Judo
1544081,Boxing
1544098,Swimming
1544123,Skateboarding
1544127,Skateboarding
1544131,Skateboarding
1544148,Swimming
1544151,Artistic Swimming
1544165,Marathon Swimming
1544168,Marathon Swimming
1544169,Marathon Swimming
1544179,Weightlifting
1544192,Diving
1544200,Table Tennis
1544203,Table Tennis
1544208,Diving
1544211,Triathlon
1544214,Sport Climbing
1544215,Sport Climbing
1544218,Sport Climbing
1544220,Sport Climbing
1544228,Swimming
1544301,Table Tennis
1544310,Table Tennis
1544321,Judo
1544327,Athletics
1544334,Athletics
1544335,Athletics
1544336,Athletics
1544338,Athletics
1544339,Athletics
1544346,Athletics
1544350,Athletics
1544354,Athletics
1544355,Athletics
1544358,Athletics
1544360,Athletics
1544385,Athletics
1544388,Athletics
1544392,Swimming
1544413,Weightlifting
1544417,Weightlifting
1544421,Athletics
1544423,Athletics
1544424,Weightlifting
1544425,Athletics
1544434,Canoe Slalom
1544436,Rugby Sevens
1544444,Athletics
1544445,Athletics
1544447,Athletics
1544448,Athletics
1544449,Rugby Sevens
1544454,Rowing
1544460,Rowing
1544461,Rowing
1544462,Rowing
1544471,Athletics
1544479,Athletics
1544485,Athletics
1544511,Athletics
1544601,Wrestling
1544602,Wrestling
1544703,Taekwondo
1544803,Wrestling
1544830,Wrestling
1544831,Wrestling
1544880,Wrestling
1544881,Wrestling
1544882,Wrestling
1544894,Wrestling
1544897,Wrestling
1544908,Wrestling
1544917,Wrestling
1544928,Wrestling
1544936,Wrestling
1545015,Judo
1545017,Judo
1545022,Judo
1545023,Judo
1545058,Swimming
1545070,Canoe Sprint
1545086,Canoe Sprint
1545115,Modern Pentathlon
1545116,Modern Pentathlon
1545119,Modern Pentathlon
1545123,Modern Pentathlon
1545200,Cycling Road
1545203,Sailing
1545257,Boxing
1545302,Athletics
1545341,Judo
1545461,Cycling Road
1545464,Shooting
1545471,Shooting
1545478,Cycling Road
1545496,Canoe Slalom
1545498,Canoe Slalom
1545501,Canoe Sprint
1545512,Weightlifting
1545688,Artistic Gymnastics
1545803,Modern Pentathlon
1545856,Swimming
1545877,Triathlon
1545879,Cycling Road
1545881,Athletics
1545882,Swimming
1545903,Cycling Mountain Bike
1545907,Cycling Mountain Bike
1545909,Cycling Mountain Bike
1545910,Cycling Mountain Bike
1545913,Cycling BMX Racing
1545944,Swimming
1545964,Taekwondo
1545966,Athletics
1546047,Boxing
1546048,Boxing
1546049,Boxing
1546051,Boxing
1546052,Athletics
1546055,Swimming
1546057,Boxing
1546073,Athletics
1546108,Archery
1546110,Archery
1546112,Archery
1546122,Swimming
1546132,Archery
1546133,Archery
1546200,Archery
1546314,Diving
1546614,Golf
1546621,Judo
1546651,Judo
1546662,Rowing
1546670,Beach Volleyball
1546675,Beach Volleyball
