code,events
1537183,Women's 100m Hurdles
1537185,Men's Dinghy
1537187,Men's Dinghy
1537188,Men's Freestyle 65kg
1537189,Women's 57kg
1537191,Women's 100m Backstroke
1537203,Men's 400m Hurdles
1537204,Men's 100m Freestyle
1537204,Men's 200m Freestyle
1537209,Women's 400m Freestyle
1537209,Women's 800m Freestyle
1537256,Women's 59kg
1537272,Women's 50m Freestyle
1537273,Men's 50m Freestyle
1537276,Men's Singles
1537286,Women -52 kg
1537287,Women -63 kg
1537312,Men's Canoe Single 1000m
1537323,Men
1537325,Women's 100m
1537325,Women's 200m
1537331,Men's 400m
1537336,Men
1537345,"Women's 10,000m"
1537345,Women's 1500m
1537345,Women's 5000m
1537349,Women -67kg
1537368,"Women's 10,000m"
1537375,Women's Single Sculls
1537376,Men -80kg
1537377,Trap Men
1537394,Men's 100m Freestyle
1537401,Men -68kg
1537402,Men's Dinghy
1537405,Women's Dinghy
1537465,Men's 100m Backstroke
1537510,Women's Marathon
1537518,Women's 3000m Steeplechase
1537531,Men's Hammer Throw
1537538,Men's 400m
1537547,Men's Shot Put
1537549,Men's 4 x 100m Relay
1537579,Men's 100m Freestyle
1537661,Men's 102kg
1537667,Men's Single Sculls
1537686,Men's Single Sculls
1537927,Skeet Men
1537929,10m Air Rifle Men
1537929,10m Air Rifle Mixed Team
1537932,10m Air Rifle Women
1537932,10m Air Rifle Mixed Team
1538007,Men's 100m Freestyle
1538007,Men's 50m Freestyle
1538028,Mixed Multihull
1538040,Women's Windsurfing
1538041,Mixed Multihull
1538044,Men's Windsurfing
1538048,Women's Kite
1538059,Women's Singles
1538078,Trap Men
1538084,50m Rifle 3 Positions Men
1538096,Women's Singles
1538096,Women's Team
1538104,Men's Team
1538124,Women's 100m Breaststroke
1538124,Women's 200m Breaststroke
1538136,Women's Singles
1538136,Women's Team
1538146,Skeet Women
1538150,Men's 100m Breaststroke
1538151,Men's Singles
1538151,Men's Team
1538153,Women's 100m Backstroke
1538153,Women's 200m Backstroke
1538154,50m Rifle 3 Positions Women
1538157,Trap Women
1538159,10m Air Pistol Women
1538159,25m Pistol Women
1538159,10m Air Pistol Mixed Team
1538160,Men's Single Sculls
1538161,10m Air Rifle Women
1538161,10m Air Rifle Mixed Team
1538190,Men's Singles
1538190,Men's Team
1538193,Women's Team
1538234,Women's 50m Freestyle
1538243,Men's 50m Freestyle
1538244,Women
1538253,Women
1538260,Women
1538261,Women
